[2026-03-01 16:51:10] [INFO    ] sasha.api: Starting Sasha AI v2...
[2026-03-01 16:51:13] [INFO    ] httpx: HTTP Request: GET http://localhost:11434/api/tags "HTTP/1.1 200 OK"
[2026-03-01 16:51:13] [INFO    ] sasha.model: LLM model 'qwen2.5-coder:7b' is available.
[2026-03-01 16:51:13] [INFO    ] sasha.model: Embed model 'nomic-embed-text' is available.
[2026-03-01 16:51:13] [INFO    ] sasha.api: Seeded 25 knowledge entries from system_prompt.txt
[2026-03-01 16:51:47] [INFO    ] httpx: HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2026-03-01 16:51:47] [INFO    ] sasha.rag: Rebuilt RAG index with 25 entries.
[2026-03-01 16:51:47] [INFO    ] sasha.api: RAG index built with 25 entries.
[2026-03-01 16:51:47] [INFO    ] sasha.api: Sasha AI v2 ready!
[2026-03-01 16:56:46] [INFO    ] httpx: HTTP Request: GET http://localhost:11434/api/tags "HTTP/1.1 200 OK"
